,id,sequence,sitzung,speaker,speaker_cleaned,speaker_fp,speaker_key,speaker_party,text,top,top_id,type,wahlperiode
509,118481,509,126,Vizepräsidentin Claudia Roth,Claudia Roth,claudia-roth,426.0,,"Vielen Dank, Herr Kollege Ulrich. - Der nächste Redner ist der Kollege Roderich Kiesewetter für die CDU/CSU-Fraktion.",TOP ZP 1 Aktuelle Stunde zu Atombomben in Rheinland-Pfalz,2328,chair,18
510,118482,510,126,,,,,,Beifall bei der CDU/CSU,TOP ZP 1 Aktuelle Stunde zu Atombomben in Rheinland-Pfalz,2328,poi,18
511,118483,511,126,Roderich Kiesewetter (CDU/CSU),Roderich Kiesewetter,roderich-kiesewetter,200.0,cducsu,"Frau Präsidentin! Liebe Kolleginnen und Kollegen! Meine Damen und Herren! Wir sind eben leider Zeuge einer Rede geworden, in der der Wunsch vor die Wirklichkeit gestellt wurde. Es ist schon absolut bedauerlich, dass die Ukraine als Beispiel für nukleare Abrüstung angeführt wird. Es war doch gerade die Ukraine, die 1994 um den Preis ihrer Unabhängigkeit die Nuklearwaffen an Russland übergeben und 20 Jahre später ihre Souveränität verloren hat. Ich glaube, wäre die Ukraine Nuklearmacht geblieben, müssten wir den hybriden Krieg, den wir dort gerade erleben, nicht erleben.

Mir geht es aber um Sachlichkeit in der Diskussion. Ich möchte deutlich hervorheben, dass gegenseitige Rückversicherung und Abrüstung an sich kein Selbstzweck sind. Ziel unserer Außenpolitik ist, dass wir auf der einen Seite Verlässlichkeit im Bündnis bieten und auf der anderen Seite sowohl Sicherheit nach innen als auch Sicherheit im Bündnis nach außen leisten können. Das können wir durch eine Bundeswehr im Bündnis.",TOP ZP 1 Aktuelle Stunde zu Atombomben in Rheinland-Pfalz,2328,speech,18
512,118484,512,126,Sylvia Kotting-Uhl [BÜNDNIS 90/DIE GRÜNEN],Sylvia Kotting-Uhl,sylvia-kotting-uhl,332.0,gruene,Und mit Atomwaffen!,TOP ZP 1 Aktuelle Stunde zu Atombomben in Rheinland-Pfalz,2328,poi,18
513,118485,513,126,Roderich Kiesewetter (CDU/CSU),Roderich Kiesewetter,roderich-kiesewetter,200.0,cducsu,"Das machen wir durch sehr stark orientierte Entwicklungszusammenarbeit und einen vernetzten Ansatz, der in den letzten Jahren erhebliche Fortschritte gemacht hat.",TOP ZP 1 Aktuelle Stunde zu Atombomben in Rheinland-Pfalz,2328,speech,18
514,118486,514,126,,,,,,Beifall bei der CDU/CSU sowie des Abg. Dr. Karl-Heinz Brunner [SPD],TOP ZP 1 Aktuelle Stunde zu Atombomben in Rheinland-Pfalz,2328,poi,18
515,118487,515,126,Roderich Kiesewetter (CDU/CSU),Roderich Kiesewetter,roderich-kiesewetter,200.0,cducsu,"Ich möchte herausstellen, dass uns Russland zurzeit in drei Bereichen nuklear bedroht:

Erstens. Russland macht Volltruppenübungen und übt die Verlegung von Kurzstreckenraketen, von sogenannten Iskander-Raketen; davon hat Russland mehr als 4 000 Stück. Solche Übungen gab es auf deutschem Boden letztmals in der 80erJahren. Heute, 30 Jahre danach, wird dies auf russischem Boden wieder praktiziert.

Zweitens. Russische strategische Bomber verletzen den Luftraum der Europäischen Union. Wir wissen nicht, was sie transportieren. Sie sind aber nuklearfähig. Das findet umgekehrt nicht statt.

Drittens. Russland übt derzeit mit etwa 50 000 bis 60 000 Soldaten die schnelle Verlegung über weite Strecken und dabei auch die Anwendung von Nuklearwaffen. Auch das gab es zuletzt in den 80er-Jahren und wird heute nicht mehr gemacht.

Wir müssen also schon die Kirche im Dorf lassen und sehr deutlich sagen, dass die nukleare Bedrohung von Russland ausgeht.",TOP ZP 1 Aktuelle Stunde zu Atombomben in Rheinland-Pfalz,2328,speech,18
516,118488,516,126,,,,,,Beifall bei der CDU/CSU sowie des Abg. Dr. Karl-Heinz Brunner [SPD],TOP ZP 1 Aktuelle Stunde zu Atombomben in Rheinland-Pfalz,2328,poi,18
517,118489,517,126,Alexander Ulrich [DIE LINKE],Alexander Ulrich,alexander-ulrich,315.0,linke,Von Russland geht sie aus? Das ist ja ein Witz!,TOP ZP 1 Aktuelle Stunde zu Atombomben in Rheinland-Pfalz,2328,poi,18
518,118490,518,126,Roderich Kiesewetter (CDU/CSU),Roderich Kiesewetter,roderich-kiesewetter,200.0,cducsu,"Für uns Deutsche ist die nukleare Teilhabe ein Thema, auf das ich gerne noch etwas Zeit verwenden möchte. Wir haben es im Jahr 2010 fast parteienübergreifend geschafft - Agnieszka Brugger war seinerzeit dabei -, einen Antrag auf nukleare Abrüstung im Bundestag durchzusetzen. Damals war aber nicht von einem einseitigen Abzug von Nuklearwaffen die Rede, sondern davon, dass wir im strategischen Konzept der NATO eindeutige Hinweise auf einen Abbau der Bedeutung von Nuklearwaffen verankert haben wollten. Das ist uns gelungen; das ging von diesem Bundestag aus. Wir können heute noch froh darüber sein, dass wir das geschafft haben. Die Entwicklung seit 2010 ist aber eine andere; die Bedrohung unserer östlichen Grenze - insbesondere der souveränen Ukraine - ist sehr sichtbar.

Der zweite Punkt ist: Wir wollen das strategische Konzept der NATO weiterhin mit beeinflussen. Das geht nicht, indem wir einseitig sagen: „Wir verzichten auf nukleare Teilhabe“, sondern das geht, indem wir konzeptionell mitarbeiten und an den politischen Dokumenten der NATO mitwirken. Das ist eine Besonderheit. Die Bundesrepublik Deutschland ist neben Frankreich, Großbritannien und den USA einer von vier Staaten, die daran mitwirken. Wir haben hier also eine ganz besondere Rolle.

Der dritte Punkt ist - er sollte dem Kollegen von der Linken etwas mehr zu Herzen gehen; da waren Sie sehr oberflächlich, Herr Kollege Ulrich -:",TOP ZP 1 Aktuelle Stunde zu Atombomben in Rheinland-Pfalz,2328,speech,18
