"id","wahlperiode","sitzung","title","description","detail","number","title_clean","week","year","category","duration","held_on","sequence","name","session_identifier"
14090,18,61,"TOP 22 Wohnungsnot in Hochschulstädten","Überweisung","<div class=""bt-top-collapse collapse"">
                Beratung des Antrags der Fraktion DIE LINKE. <br>Wohnungsnot, Mietsteigerungen und Mietwucher in Hochschulstädten bekämpfen<br>Drucksache <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/028/1802870.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/2870 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/2870</a><br>
                              </div>","22","Wohnungsnot in Hochschulstädten",42,2014,"Raumordnung, Bau- und Wohnungswesen",110,"2014-10-17",2,"Wohnungsnot in Hochschulstädten","TOP 22"
14091,18,61,"TOP 23 Ebola-Epidemie","Beschlussempfehlung","<div class=""bt-top-collapse collapse"">
                Beratung der Beschlussempfehlung und des Berichts des Ausschusses für wirtschaftliche Zusammenarbeit und Entwicklung (19. Ausschuss) zu dem Entschließungsantrag der Fraktionen der CDU/CSU und SPD<br>zu der vereinbarten Debatte <br>Deutschlands Beitrag zur Eindämmung der Ebola-Epidemie<br>Drucksachen <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/026/1802607.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/2607 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/2607</a>, <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/028/1802841.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/2841 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/2841</a><br>
                              </div>","23","Ebola-Epidemie",42,2014,"Außenpolitik und internationale Beziehungen;Entwicklungspolitik;Gesundheit",55,"2014-10-17",3,"Ebola-Epidemie","TOP 23"
14092,18,61,"TOP 26 Fernerkundung in Afrika","Überweisung","<div class=""bt-top-collapse collapse"">
                Beratung des Berichts des Ausschusses für Bildung, Forschung und Technikfolgenabschätzung (18. Ausschuss) gemäß § 56a GO-BT<br>Technikfolgenabschätzung (TA) <br>Fernerkundung: Anwendungspotenziale in Afrika<br>Drucksache <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/005/1800581.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/581 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/581</a> <br>
                              </div>","26","Fernerkundung in Afrika",42,2014,"Außenpolitik und internationale Beziehungen;Wissenschaft, Forschung und Technologie",40,"2014-10-17",4,"Fernerkundung in Afrika","TOP 26"
14093,18,61,"TOP 25 Bekämpfung des Antiziganismus","Überweisung","<div class=""bt-top-collapse collapse"">
                Beratung des Antrags der Fraktion BÜNDNIS 90/DIE GRÜNEN <br>Antiziganismus erkennen und entschlossen bekämpfen<br>Drucksache <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/019/1801967.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/1967 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/1967</a> <br>
                              </div>","25","Bekämpfung des Antiziganismus",42,2014,"Gesellschaftspolitik, soziale Gruppen",45,"2014-10-17",5,"Bekämpfung des Antiziganismus","TOP 25"
14094,18,62,"TOP 1 Befragung der Bundesregierung","beendet","<div class=""bt-top-collapse collapse"">
                Thema:  Bericht der Bundesregierung zur  internationalen Kooperation in Bildung,  Wissenschaft und Forschung 2014 -2016
                              </div>","1","Befragung der Bundesregierung",26,2017,"Verkehr;Öffentliche Finanzen, Steuern und Abgaben",50,"2014-11-05",1,"Befragung der Bundesregierung","TOP 1"
14095,18,62,"TOP 2 Fragestunde","beendet","<div class=""bt-top-collapse collapse"">
                Drucksache <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/128/1812876.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/12876 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/12876</a>
                              </div>","2","Fragestunde",26,2017,"Sonstiges",105,"2014-11-05",2,"Fragestunde","TOP 2"
14096,18,63,"TOP 4 Regierungserklärung zur Einigung auf wirksamere Regeln zur Bekämpfung von Steuerflucht","Überweisung","<div class=""bt-top-collapse collapse"">
                a) Abgabe einer Regierungserklärung durch den Bundesminister der Finanzen<br>Verbesserter automatischer Informationsaustausch - Einigung auf wirksamere Regeln zur Bekämpfung von Steuerflucht<br><br>b) Erste Beratung des von der Bundesregierung <br>Gesetz zur Änderung der Abgabenordnung und des Einführungsgesetzes zur Abgabenordnung<br>Drucksache <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/030/1803018.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/3018 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/3018</a><br>
                              </div>","4","Regierungserklärung zur Einigung auf wirksamere Regeln zur Bekämpfung von Steuerflucht",45,2014,"Öffentliche Finanzen, Steuern und Abgaben",135,"2014-11-06",1,"Regierungserklärung zur Einigung auf wirksamere Regeln zur Bekämpfung von Steuerflucht","TOP 4"
14097,18,63,"TOP 5 + ZP 1 Europäische Bankenunion","Gesetzentwurf","<div class=""bt-top-collapse collapse"">
                a) –	Zweite und dritte Beratung des von der Bundesregierung <br>Gesetz zur Umsetzung der Richtlinie 2014/59/EU des Europäischen Parlaments und des Rates vom 15. Mai 2014 zur Festlegung eines Rahmens für die Sanierung und Abwicklung von Kreditinstituten und Wertpapierfirmen und zur Änderung der Richtlinie 82/891/EWG des Rates, der Richtlinien 2001/24/EG, 2002/47/EG, 2004/25/EG, 2005/56/EG, 2007/36/EG, 2011/35/EU, 2012/30/EU und 2013/36/EU sowie der Verordnungen (EU) Nr. 1093/2010 und (EU) Nr. 648/2012 des Europäischen Parlaments und des Rates (BRRD-Umsetzungsgesetz)<br>Drucksachen <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/025/1802575.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/2575 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/2575</a>, <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/026/1802626.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/2626 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/2626</a> <br>– Zweite und Schlussabstimmung des von der Bundesregierung <br>Gesetz zu dem Übereinkommen vom 21. Mai 2014 über die Übertragung von Beiträgen auf den einheitlichen Abwicklungsfonds und über die gemeinsame Nutzung dieser Beiträge<br>Drucksachen <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/025/1802576.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/2576 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/2576</a>, <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/026/1802627.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/2627 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/2627</a><br>Beschlussempfehlung und Bericht des Finanzausschusses (7. Ausschuss)<br>Drucksache <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/030/1803088.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/3088 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/3088</a><br><br>b) –	Zweite und dritte Beratung des von der Bundesregierung<br>Gesetz zur Änderung des ESM-Finanzierungsgesetzes<br>Drucksachen <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/025/1802577.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/2577 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/2577</a>, <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/026/1802629.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/2629 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/2629</a><br>– Zweite und dritte Beratung des von der Bundesregierung<br>Gesetz zur Änderung der Finanzhilfeinstrumente nach Artikel 19 des Vertrags vom 2. Februar 2012 zur Einrichtung des Europäischen Stabilitätsmechanismus<br>Drucksachen <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/025/1802580.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/2580 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/2580</a>, <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/026/1802628.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/2628 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/2628</a> <br>Beschlussempfehlung und Bericht des Haushaltsauschusses (8. Ausschuss)<br>Drucksache <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/030/1803082.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/3082 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/3082</a> 	<br><br>c) Beratung der Beschlussempfehlung und des Berichts des Haushaltsauschusses (8. Ausschuss) <br>zu dem Antrag des Bundesministeriums der Finanzen <br>Durchführungsbestimmungen zum Instrument der direkten Bankenrekapitalisierung durch den Europäischen Stabilitätsmechanismus (ESM); Einholung eines zustimmenden Beschlusses des Deutschen Bundestages nach § 4 Absatz 1 ESM-Finanzierungsgesetz (ESMFinG)<br>Drucksachen <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/026/1802669.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/2669 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/2669</a>, <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/030/1803082.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/3082 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/3082</a> <br><br>ZP 1) Beratung der Beschlussempfehlung und des Berichts des Finanzausschusses (7. Ausschuss) <br>– zu dem Antrag der Fraktion BÜNDNIS 90/DIE GRÜNEN<br>Risiko und Haftung zusammenführen – Gläubigerbeteiligung nach EZB-Bankentest sicherstellen<br>– zu dem Antrag der Fraktion BÜNDNIS 90/DIE GRÜNEN<br>Gemeinsam die Haftung der Steuerzahlerinnen und Steuerzahler beenden – Für einen einheitlichen europäischen Restrukturierungsmechanismus<br>– zu dem Antrag der Fraktion BÜNDNIS 90/DIE GRÜNEN<br>zu dem Vorschlag für eine Verordnung des Europäischen Parlaments und des Rates zur Festlegung einheitlicher Vorschriften und eines einheitlichen Verfahrens für die Abwicklung von Kreditinstituten und bestimmten Wertpapierfirmen im Rahmen eines einheitlichen Abwicklungsmechanismus und eines einheitlichen Bankenabwicklungsfonds sowie zur Änderung der Verordnung (EU) Nr. 1093/2010 des Europäischen Parlaments und des Rates<br>KOM(2013) 520 endg.; Ratsdok. 12315/13<br>hier:	Stellungnahme gegenüber der Bundesregierung gemäß Artikel 23 Absatz 3 des Grundgesetzes <br>Zum Schutz der Allgemeinheit vor Einzelinteressen – Für eine echte Europäische Bankenunion<br>Drucksachen <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/000/1800097.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/97 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/97</a>, <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/000/1800098.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/98 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/98</a>, <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/007/1800774.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/774 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/774</a>, <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/030/1803088.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/3088 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/3088</a><br>
                              </div>","5 + ZP 1","Europäische Bankenunion",45,2014,"Europapolitik und Europäische Union;Öffentliche Finanzen, Steuern und Abgaben",120,"2014-11-06",2,"Europäische Bankenunion","TOP 5 + ZP 1"
14098,18,63,"TOP 6 Flüchtlingspolitik der Europäischen Union","Beschlussempfehlung","<div class=""bt-top-collapse collapse"">
                Beratung der Beschlussempfehlung und des Berichts des Innenausschusses (4. Ausschuss) <br>zu dem Antrag der Fraktion DIE LINKE. <br>Das Massensterben an den EU-Außengrenzen beenden – Für eine offene, solidarische und humane Flüchtlingspolitik der Europäischen Union<br>Drucksachen <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/002/1800288.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/288 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/288</a>, <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/029/1802946.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/2946 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/2946</a> <br>
                              </div>","6","Flüchtlingspolitik der Europäischen Union",45,2014,"Ausländerpolitik, Zuwanderung;Europapolitik und Europäische Union",70,"2014-11-06",3,"Flüchtlingspolitik der Europäischen Union","TOP 6"
14099,18,63,"TOP ZP 3 Aktuelle Stunde zu den Ergebnissen des Weltklimaberichts","beendet","<div class=""bt-top-collapse collapse"">
                Aktuelle Stunde <br>auf Verlangen der Fraktion BÜNDNIS 90/DIE GRÜNEN<br>Haltung der Bundesregierung zu den alarmierenden Ergebnissen des Weltklimaberichts und dem Handlungsbedarf für mehr Klimaschutz
                              </div>","ZP 3","Aktuelle Stunde zu den Ergebnissen des Weltklimaberichts",45,2014,"Energie;Umwelt;Außenpolitik und internationale Beziehungen",80,"2014-11-06",6,"Aktuelle Stunde zu den Ergebnissen des Weltklimaberichts","TOP ZP 3"
14100,18,63,"TOP 7 Änderung des Freizügigkeitsgesetzes/EU","Änderungsantrag","<div class=""bt-top-collapse collapse"">
                – Zweite und dritte Beratung des von der Bundesregierung<br>Gesetz zur Änderung des Freizügigkeitsgesetzes/EU und weiterer Vorschriften<br>Drucksache <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/025/1802581.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/2581 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/2581</a>, <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/030/1803004.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/3004 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/3004</a><br>Beschlussempfehlung und Bericht des Innenausschusses (4. Ausschuss)<br>Drucksache <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/030/1803077.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/3077 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/3077</a><br>– Bericht des Haushaltsausschusses (8. Ausschuss) gemäß § 96 der Geschäftsordnung<br>Drucksache <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/030/1803083.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/3083 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/3083</a> <br>
                              </div>","7","Änderung des Freizügigkeitsgesetzes/EU",45,2014,"Ausländerpolitik, Zuwanderung;Europapolitik und Europäische Union",50,"2014-11-06",7,"Änderung des Freizügigkeitsgesetzes/EU","TOP 7"
14101,18,63,"TOP 8 Asylbewerberleistungsgesetz","Gesetzentwurf","<div class=""bt-top-collapse collapse"">
                a) – Zweite und dritte Beratung des von der Bundesregierung<br>Gesetz zur Änderung des Asylbewerberleistungsgesetzes und des Sozialgerichtsgesetzes<br>Drucksache <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/025/1802592.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/2592 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/2592</a>, <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/030/1803000.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/3000 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/3000</a> <br>Beschlussempfehlung und Bericht des Ausschusses für Arbeit und Soziales (11. Ausschuss)<br>Drucksache <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/030/1803073.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/3073 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/3073</a><br>– Bericht des Haushaltsausschusses (8. Ausschuss) gemäß § 96 der Geschäftsordnung<br>Drucksache <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/030/1803084.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/3084 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/3084</a> <br><br>b) Zweite und dritte Beratung der Fraktion BÜNDNIS 90/DIE GRÜNEN <br>Gesetz zur Aufhebung des Asylbewerberleistungsgesetzes<br>Drucksache <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/027/1802736.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/2736 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/2736</a> <br>Beschlussempfehlung und Bericht des Ausschusses für Arbeit und Soziales (11. Ausschuss)<br>Drucksache <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/030/1803073.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/3073 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/3073</a><br><br>c) Beratung der Beschlussempfehlung und des Berichts des Ausschusses für Arbeit und Soziales (11. Ausschuss) <br>zu dem Antrag der Fraktion DIE LINKE.<br>Sozialrechtliche Diskriminierung beenden – Asylbewerberleistungsgesetz aufheben<br>Drucksachen <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/028/1802871.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/2871 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/2871</a>, <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/030/1803073.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/3073 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/3073</a><br><br>
                              </div>","8","Asylbewerberleistungsgesetz",45,2014,"Ausländerpolitik, Zuwanderung;Soziale Sicherung",50,"2014-11-06",8,"Asylbewerberleistungsgesetz","TOP 8"
14102,18,63,"TOP 9 Gleichstellung im Kulturbetrieb","Überweisung","<div class=""bt-top-collapse collapse"">
                Beratung des Antrags der Fraktion BÜNDNIS 90/DIE GRÜNEN <br>Grundlagen für Gleichstellung im Kulturbetrieb schaffen<br>Drucksache <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/028/1802881.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/2881 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/2881</a> <br>
                              </div>","9","Gleichstellung im Kulturbetrieb",45,2014,"Gesellschaftspolitik, soziale Gruppen;Kultur",40,"2014-11-06",9,"Gleichstellung im Kulturbetrieb","TOP 9"
14103,18,63,"TOP 10 Flüchtlingsunterbringung","Gesetzentwurf","<div class=""bt-top-collapse collapse"">
                Zweite und dritte Beratung des vom Bundesrat <br>Gesetz über Maßnahmen im Bauplanungsrecht zur Erleichterung der Unterbringung von Flüchtlingen<br>Drucksache <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/027/1802752.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/2752 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/2752</a> <br>Beschlussempfehlung und Bericht des Ausschusses für Umwelt, Naturschutz, Bau und Reaktorsicherheit (16. Ausschuss)<br>Drucksache <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/030/1803070.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/3070 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/3070</a><br>
                              </div>","10","Flüchtlingsunterbringung",45,2014,"Ausländerpolitik, Zuwanderung;Raumordnung, Bau- und Wohnungswesen",45,"2014-11-06",10,"Flüchtlingsunterbringung","TOP 10"
14104,18,63,"TOP 11 Pkw-Maut","beendet","<div class=""bt-top-collapse collapse"">
                Beratung des Berichts des Ausschusses für Verkehr und digitale Infrastruktur (15. Ausschuss) <br>gemäß § 62 Absatz 2 der Geschäftsordnung <br>zu dem Antrag der Fraktion DIE LINKE. <br>Keine Einführung einer Pkw-Maut in Deutschland <br>Drucksachen <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/008/1800806.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/806 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/806</a>, <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/029/1802989.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/2989 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/2989</a> <br>
                              </div>","11","Pkw-Maut",45,2014,"Verkehr;Öffentliche Finanzen, Steuern und Abgaben",50,"2014-11-06",11,"Pkw-Maut","TOP 11"
14105,18,63,"TOP 12 Bundeswehreinsatz in Südsudan (UNMISS)","Überweisung","<div class=""bt-top-collapse collapse"">
                Beratung des Antrags der Bundesregierung <br>Fortsetzung der Beteiligung bewaffneter deutscher Streitkräfte an der von den Vereinten Nationen geführten Friedensmission in Südsudan (UNMISS) auf Grundlage der Resolution 1996 (2011) des Sicherheitsrates der Vereinten Nationen vom 8. Juli 2011 und Folgeresolutionen, zuletzt 2155 (2014) vom 27. Mai 2014<br>Drucksache <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/030/1803005.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/3005 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/3005</a> <br>
                              </div>","12","Bundeswehreinsatz in Südsudan (UNMISS)",45,2014,"Verteidigung",30,"2014-11-06",12,"Bundeswehreinsatz in Südsudan (UNMISS)","TOP 12"
14106,18,63,"TOP 13 Atomabkommen mit Brasilien","Beschlussempfehlung","<div class=""bt-top-collapse collapse"">
                Beratung der Beschlussempfehlung und des Berichts des Ausschusses für Wirtschaft und Energie (9. Ausschuss) <br>zu dem Antrag der Fraktion BÜNDNIS 90/DIE GRÜNEN <br>Kündigung des bilateralen Atomabkommens mit Brasilien <br>Drucksachen <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/026/1802610.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/2610 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/2610</a>, <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/029/1802907.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/2907 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/2907</a> <br>
                              </div>","13","Atomabkommen mit Brasilien",45,2014,"Außenpolitik und internationale Beziehungen;Energie",25,"2014-11-06",13,"Atomabkommen mit Brasilien","TOP 13"
14107,18,63,"TOP 14 Bundeswehreinsatz in Dafur (UNAMID)","Überweisung","<div class=""bt-top-collapse collapse"">
                Beratung des Antrags der Bundesregierung <br>Fortsetzung der Beteiligung bewaffneter deutscher Streitkräfte an der AU/UN-Hybrid-Operation in Darfur (UNAMID) auf Grundlage der Resolution 1769 (2007) des Sicherheitsrates der Vereinten Nationen vom 31. Juli 2007 und folgender Resolutionen, zuletzt 2173 (2014) vom 27. August 2014<br>Drucksache <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/030/1803006.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/3006 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/3006</a> <br>
                              </div>","14","Bundeswehreinsatz in Dafur (UNAMID)",45,2014,"Verteidigung",30,"2014-11-06",14,"Bundeswehreinsatz in Dafur (UNAMID)","TOP 14"
14108,18,64,"TOP 29 Vereinbarte Debatte Friedliche Revolution – 25 Jahre nach Mauerfall","10:22:51: Abgeordete singen die deutsche Nationalhymne","<div class=""bt-top-collapse collapse"">
                Vereinbarte Debatte<br>Friedliche Revolution – 25 Jahre nach dem Mauerfall<br>
                              </div>","29","Vereinbarte Debatte Friedliche Revolution – 25 Jahre nach Mauerfall",45,2014,"Gesellschaftspolitik, soziale Gruppen;Neue Bundesländer",90,"2014-11-07",1,"Vereinbarte Debatte Friedliche Revolution – 25 Jahre nach Mauerfall","TOP 29"
14109,18,64,"TOP 30 Elterngeld Plus und flexiblere Elternzeit","Gesetzentwurf","<div class=""bt-top-collapse collapse"">
                a) – Zweite und dritte Beratung der Bundesregierung<br>Gesetz zur Einführung des Elterngeld Plus mit Partnerschaftsbonus und einer flexibleren Elternzeit im Bundeselterngeld- und Elternzeitgesetz<br>Drucksachen <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/025/1802583.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/2583 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/2583</a>, <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/026/1802625.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/2625 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/2625</a> <br>Beschlussempfehlung und Bericht des Ausschusses für Familie, Senioren, Frauen und Jugend (13. Ausschuss)<br>Drucksache <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/030/1803086.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/3086 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/3086</a> <br>Bericht des Haushaltsausschusses (8. Ausschuss) gemäß § 96 der Geschäftsordnung<br>Drucksache <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/030/1803087.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/3087 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/3087</a><br><br>b) Beratung der Beschlussempfehlung und des Berichts des Ausschusses für Familie, Senioren, Frauen und Jugend (13. Ausschuss) <br>zu dem Antrag der Fraktion BÜNDNIS 90/DIE GRÜNEN <br>Echte Wahlfreiheit schaffen – Elterngeld flexibler gestalten<br>Drucksachen <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/027/1802749.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/2749 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/2749</a>, <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/030/1803086.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/3086 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/3086</a><br><br>
                              </div>","30","Elterngeld Plus und flexiblere Elternzeit",45,2014,"Arbeit und Beschäftigung;Bildung und Erziehung;Gesellschaftspolitik, soziale Gruppen;Öffentliche Finanzen, Steuern und Abgaben",70,"2014-11-07",2,"Elterngeld Plus und flexiblere Elternzeit","TOP 30"
